377	The University of Alabama at Birmingham (UAB)	United States of America (USA)	74.44	382.0
378	Cardiff University	United Kingdom (UK)	74.27	312.0
379	University of Illinois at Chicago (UIC)	United States of America (USA)	74.22	299.0
380	Shaanxi University of Science and Technology (SUST)	China	74.16	142.0
381	University of São Paulo (USP)	Brazil	73.96	441.0
382	University of Southern Denmark (SDU)	Denmark	73.89	334.0
383	Indian Institute of Science Education and Research Kolkata (IISER Kolkata)	India	73.84	112.0
384	Fujian Agriculture and Forestry University (FAFU)	China	73.83	205.0
385	University of Macau (UM)	China	73.55	345.0
386	The University of Warwick (Warwick)	United Kingdom (UK)	73.54	411.0
387	KTH Royal Institute of Technology	Sweden	73.39	523.0
388	St. Jude Children's Research Hospital (St. Jude)	United States of America (USA)	72.4	217.0
389	Northeast Forestry University (NEFU)	China	72.22	193.0
390	The University of Iowa (UI)	United States of America (USA)	72.03	396.0
391	National Oceanic and Atmospheric Administration (NOAA)	United States of America (USA)	71.88	312.0
392	Norwegian University of Science and Technology (NTNU)	Norway	71.71	284.0
393	Hubei University (HUBU)	China	71.5	194.0
394	The University of Auckland	New Zealand	71.34	304.0
395	Case Western Reserve University (CWRU)	United States of America (USA)	70.03	309.0
396	Western University (UWO)	Canada	68.72	252.0
397	Roche	Switzerland	68.65	198.0
398	Vienna University of Technology (TU Wien)	Austria	68.51	264.0
399	University of Lisbon (ULISBOA)	Portugal	68.35	358.0
400	Indian Institute of Technology Delhi (IIT Delhi)	India	68.15	117.0
401	University of Naples Federico II (UNINA)	Italy	68.01	400.0
402	Aalto University	Finland	67.72	304.0
403	Southwest University of Science and Technology (SWUST)	China	67.52	144.0
404	Polytechnic University of Milan	Italy	67.46	234.0
405	National Institute of Standards and Technology (NIST)	United States of America (USA)	67.45	263.0
406	Grenoble Alpes University (UGA)	France	67.29	682.0
407	University of Regensburg (UR)	Germany	67.08	227.0
408	Tianjin Medical University (TMU)	China	66.93	240.0
409	University of South China (USC)	China	66.89	230.0
410	Technische Universität Berlin (TU Berlin)	Germany	66.83	274.0
411	Korea Institute of Science and Technology (KIST)	South Korea	66.56	307.0
412	University of Bologna (UNIBO)	Italy	66.44	502.0
413	University of Houston (UH)	United States of America (USA)	66.28	276.0
414	Indian Association for the Cultivation of Science (IACS)	India	65.93	129.0
415	Ben-Gurion University of the Negev (BGU)	Israel	64.88	181.0
416	Beijing Jiaotong University (BJTU)	China	64.44	163.0
417	University of Warsaw (UW)	Poland	64.19	248.0
418	University of California, Santa Cruz (UCSC)	United States of America (USA)	64.17	453.0
419	University of Hawai'i at Manoa (UH Mānoa)	United States of America (USA)	64.1	506.0
420	Chinese Center for Disease Control and Prevention (China CDC)	China	64.04	365.0
421	Florida State University (FSU)	United States of America (USA)	63.98	402.0
422	University at Buffalo, The State University of New York (SUNY UB)	United States of America (USA)	63.87	234.0
423	Guangzhou Medical University (GMU)	China	63.83	354.0
424	National Yang Ming Chiao Tung University (NYCU)	Taiwan	63.58	244.0
425	Jiangsu University of Science and Technology (JUST)	China	62.96	121.0
426	Wuhan University of Science and Technology (WUST)	China	62.62	168.0
427	Shandong University of Technology	China	62.48	135.0
428	University of Tsukuba	Japan	62.41	292.0
429	Complutense University of Madrid (UCM)	Spain	62.18	405.0
430	University of Massachusetts Chan Medical School (UMass Chan Medical School)	United States of America (USA)	62.05	258.0
431	U.S. Department of Health and Human Services (HHS)	United States of America (USA)	61.94	182.0
432	Lawrence Livermore National Laboratory (LLNL)	United States of America (USA)	61.85	217.0
433	Catholic University of Louvain (UCLouvain)	Belgium	61.75	289.0
434	The University of Tennessee at Knoxville (UTK)	United States of America (USA)	61.6	337.0
435	The Rockefeller University	United States of America (USA)	61.59	219.0
436	University of Miami (UM)	United States of America (USA)	61.3	325.0
437	University of Delaware (UD)	United States of America (USA)	60.95	236.0
438	Kyung Hee University (KHU)	South Korea	60.87	247.0
439	Jiangxi Normal University (JXNU)	China	60.84	149.0
440	Northwest Normal University (NWNU)	China	60.82	107.0
441	National Bureau of Economic Research (NBER)	United States of America (USA)	60.79	266.0
442	University of Valencia (UV)	Spain	60.73	394.0
443	The Francis Crick Institute	United Kingdom (UK)	60.73	171.0
444	Queensland University of Technology (QUT)	Australia	60.57	251.0
445	State Grid Corporation of China (SGCC)	China	60.5	294.0
446	University of Strasbourg	France	60.2	503.0
447	Renmin University of China (RUC)	China	59.99	238.0
448	Qufu Normal University (QFNU)	China	59.28	172.0
449	National Institute of Advanced Industrial Science and Technology (AIST)	Japan	58.61	189.0
450	University of Florence (UNIFI)	Italy	58.55	335.0
451	Guangxi Normal University (GXNU)	China	58.55	172.0
452	Paul Scherrer Institute (PSI)	Switzerland	58.21	301.0
453	U.S. Geological Survey (USGS)	United States of America (USA)	58.09	197.0
454	Sichuan Agricultural University (SAU)	China	58.02	136.0
455	Suzhou University of Science and Technology	China	57.95	190.0
456	Fred Hutchinson Cancer Center	United States of America (USA)	57.86	372.0
457	The University of Sheffield	United Kingdom (UK)	57.82	308.0
458	The City University of New York (CUNY)	United States of America (USA)	57.78	254.0
459	University of Montpellier	France	57.65	544.0
460	University of Duisburg-Essen (UDE)	Germany	57.32	277.0
461	European Organization for Nuclear Research (CERN)	Switzerland	57.19	345.0
462	Shandong First Medical University and Shandong Academy of Medical Sciences (SFMU)	China	56.63	258.0
463	Indian Institute of Science Education and Research Thiruvananthapuram (IISER TVM)	India	56.24	76.0
464	National Autonomous University of Mexico (UNAM)	Mexico	56.19	242.0
465	Italian Institute of Technology (IIT)	Italy	56.16	189.0
466	University of York	United Kingdom (UK)	55.88	212.0
467	Heinrich Heine University Düsseldorf (HHU)	Germany	55.84	315.0
468	Xi'an University of Technology (XUT)	China	55.51	143.0
469	University of Stuttgart	Germany	55.28	194.0
